lens,scope,arm,segment,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,skipped_cell_busy,skipped_notional,num_seeds
baseline,15m,long_only,full,9,7847.0,0.5723206320886963,229415.6384501691,0.18044134224443623,5.0,0.049976751382919675,5.0,0.0,1487.0,0.0,1
baseline,15m,long_only,oos_warm,9,2567.0,0.5520062329567589,12.551973008836876,0.13868550910178487,5.0,0.03981943641701783,5.0,0.0,505.0,0.0,1
baseline,15m,long_short,full,9,15681.0,0.5514316688986671,74020431.60431533,0.21071343822597682,6.0,0.04997675138291968,5.000000000000001,0.0,3039.0,1.0,1
baseline,15m,long_short,oos_warm,9,4927.0,0.5400852445707327,42.19924409235533,0.1893894643542025,6.0,0.044529352607888116,5.0,0.0,964.0,0.0,1
baseline,1h,long_only,full,9,2217.0,0.5926928281461434,639.9785737993443,0.11223578258992441,6.0,0.05,5.0,0.0,455.0,0.0,1
baseline,1h,long_only,oos_warm,9,770.0,0.548051948051948,3.1570478550158887,0.0790202680721204,4.0,0.04,3.9525104440388055,0.0,161.0,0.0,1
baseline,1h,long_short,full,9,4551.0,0.5715227422544495,51867.9250997153,0.14426063964283187,6.0,0.05716660745084348,5.0,0.0,897.0,0.0,1
baseline,1h,long_short,oos_warm,9,1611.0,0.547486033519553,15.069670074360673,0.14426063964283187,5.0,0.050267746990887666,4.0,0.0,310.0,0.0,1
baseline,2h,long_only,full,9,1075.0,0.587906976744186,32.786202400910895,0.1102235247011366,5.0,0.05,3.1991673364060795,0.0,205.0,0.0,1
baseline,2h,long_only,oos_warm,9,395.0,0.5594936708860759,1.4578061976261498,0.09351758937614874,4.0,0.04010504603420117,3.19916733640608,0.0,83.0,0.0,1
baseline,2h,long_short,full,9,2085.0,0.5707434052757794,380.5684386749446,0.12172433379599489,5.0,0.05,3.788788124302847,0.0,399.0,0.0,1
baseline,2h,long_short,oos_warm,9,726.0,0.5426997245179064,2.9974320376369947,0.12172433379599537,5.0,0.04669942373038832,3.7548639153406844,0.0,141.0,0.0,1
baseline,4h,long_only,full,9,559.0,0.6100178890876565,10.110740179861521,0.09030413785063325,7.0,0.06999999999999999,3.4278398192736965,0.0,103.0,0.0,1
baseline,4h,long_only,oos_warm,9,215.0,0.5720930232558139,1.058124945863884,0.06259983225755575,5.0,0.04535375294728063,3.427839819273697,0.0,55.0,0.0,1
baseline,4h,long_short,full,9,1035.0,0.5545893719806764,19.414359354537506,0.10882932176080817,7.0,0.07000000000000002,3.427839819273697,0.0,195.0,0.0,1
baseline,4h,long_short,oos_warm,9,369.0,0.5176151761517616,1.0080209058923388,0.07626039400622749,5.0,0.04535375294728063,3.4278398192736965,0.0,88.0,0.0,1
baseline,all,long_only,full,36,11626.0,0.5779287803199725,19516661096.52578,0.22050475099639527,11.0,0.10861381649176806,5.000000000000001,0.0,2241.0,85.0,1
baseline,all,long_only,oos_warm,36,3919.0,0.5506506761929063,188.7373285565049,0.16487244882645719,11.0,0.10135924091035688,5.000000000000001,0.0,796.0,38.0,1
baseline,all,long_short,full,36,23225.0,0.556254036598493,7343959041308099.0,0.2158305619889307,11.0,0.10861381649176806,5.000000000000001,0.0,4516.0,161.0,1
baseline,all,long_short,oos_warm,36,7578.0,0.5390604381103193,3206.3044925998656,0.21583056198892983,11.0,0.10135924091035683,5.000000000000001,0.0,1492.0,74.0,1
pen_5bp,15m,long_only,full,9,7147.0,0.5620540086749685,34435.188579455054,0.21738412124100687,5.0,0.04997675138291968,5.0,0.0,1325.0,0.0,1
