symbol,timeframe,condition,bucket,window_start,window_end,n_bucket,n_kept,threshold,all_net_pp,actual_net_pp,null_mean_net_pp,null_sums,p_value,funding_coverage
BTC/USDT:USDT,4h,zone_width,is,1600128000000,1784678400000,27,15,1.0710630940878865,19.441243025594137,6.294778011485762,6.673148907818285,"[7.2870156347, -0.1879836744, 5.7013744472, 11.0117147471, 11.0216168063, 18.6580426802, -1.5214119299, 12.7095820219, -7.4718188878, 2.1117355861, -1.498939356, 11.9982576187, 7.7581374989, 5.3779599524, 2.5253084304, 10.5384764997, 4.7455123044, 13.3720104316, -4.9120210937, 24.2384084386]",0.5238095238095238,0.8647003745318352
BTC/USDT:USDT,4h,zone_width,oos,1600128000000,1784678400000,9,7,1.0710630940878865,17.955561815524167,13.183987294273738,14.483531888266466,"[16.4274965653, 14.533481158, 19.1667520553, 10.4442678043, 16.4328295653, 20.506245919, 19.0764548568, 14.523481158, 14.523017158, 13.5933935144, 14.4427199595, 11.789094668, 13.5026323159, 11.793761668, 7.7103453143, 10.8536740245, 10.3593036058, 20.516245919, 14.9424233781, 14.533017158]",0.7142857142857143,0.8647003745318352
BTC/USDT:USDT,4h,price_adv,is,1600128000000,1784678400000,27,14,-0.008183385413750069,19.441243025594137,14.554094170455693,4.926374774779816,"[6.0796417467, -3.744496102, 7.8881435987, 8.6985857149, 9.1522278975, 17.4506687922, -3.9373387676, 7.7609509584, -5.607900996, 0.2423466773, -6.4475704195, 9.582330781, 5.8887485901, 7.5369332533, -1.0266449972, 8.1225496619, 6.932281456, 10.9963335939, -7.7221919552, 20.681896011]",0.14285714285714285,0.8647003745318352
BTC/USDT:USDT,4h,price_adv,oos,1600128000000,1784678400000,9,3,-0.008183385413750069,17.955561815524167,6.648007000808304,5.420951616920822,"[9.4821100517, 2.5745906471, 8.5473554082, 4.0596638343, 4.559367253, 9.4874430517, 5.8180999182, 9.4879070517, 6.6480070008, 8.5524864082, 0.7654228007, 6.8384847602, -0.1751288428, 5.409157698, 5.8988611167, -1.5141587065, 9.8968492719, 5.408693698, 1.2651262193, 5.408693698]",0.38095238095238093,0.8647003745318352
BTC/USDT:USDT,4h,trend,is,1600128000000,1784678400000,27,1,,19.441243025594137,2.9699869514561312,1.237554393450088,"[-2.0401575743, 4.9809760635, 5.4299324574, -3.8532549716, 4.9809760635, -3.5970663757, -1.290007834, -0.7443462136, 2.9539619515, 2.8101708615, -2.158973301, -1.275674005, 5.4299324574, 2.9699869515, 0.5195525398, 3.5519534276, 5.4299324574, 3.5565124276, -0.7443462136, -2.158973301]",0.42857142857142855,0.8647003745318352
BTC/USDT:USDT,4h,trend,oos,1600128000000,1784678400000,9,0,,17.955561815524167,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.8647003745318352
BTC/USDT:USDT,1h,zone_width,is,1600128000000,1784678400000,112,56,0.9331095601866286,69.55432919081554,45.24089156427555,33.36330263047216,"[38.5023034123, 24.3924364056, 41.0069408022, 37.7169694085, 39.8668132162, 37.5501668282, 42.1784649476, 33.6017889539, 23.1543618675, 34.2884712853, 21.719681938, 30.3491990153, 39.024133626, 39.6674749391, 16.3202342573, 22.5887571989, 20.6407226105, 44.2241759492, 42.0469864486, 38.4259694993]",0.047619047619047616,0.8647003745318352
BTC/USDT:USDT,1h,zone_width,oos,1600128000000,1784678400000,56,43,0.9331095601866286,12.03783044367905,12.923105882960705,8.269086617460962,"[6.1801358103, 10.5085723046, 11.7715767967, 2.4301248686, 9.0665092804, 11.6274076264, 6.043678934, 4.8444617952, 9.7274772455, 10.930502093, 8.460468457, 10.2049786764, 7.2434257111, 6.6109218285, 4.8030721105, 12.4511229557, 8.8209383679, 9.0776020541, 7.8536632944, 6.7250921389]",0.047619047619047616,0.8647003745318352
BTC/USDT:USDT,1h,price_adv,is,1600128000000,1784678400000,112,57,-0.012918324362275793,69.55432919081554,56.129419214607175,34.04271599590122,"[37.9220289364, 25.5048079085, 39.9385222725, 38.1953164719, 38.0420045388, 36.4817482985, 39.337357362, 34.8675073449, 24.4200802585, 32.9245146303, 20.8967834035, 33.1187236696, 43.0108450044, 38.4367274236, 16.9730989047, 23.6102133033, 19.69650761, 49.1664564085, 43.3227048396, 44.9883713284]",0.047619047619047616,0.8647003745318352
BTC/USDT:USDT,1h,price_adv,oos,1600128000000,1784678400000,56,13,-0.012918324362275793,12.03783044367905,5.93718467913361,3.6609639618496663,"[7.1643628902, 2.5306355354, 2.1906716153, 3.4325742477, 7.4899097799, 1.3946910789, 3.5126890546, 3.2477165506, 4.1551659295, 4.4515650928, 4.0324579531, 4.7061196699, 4.1522408827, -1.7922010676, 2.3155447382, 2.1757783689, 6.546843968, 5.3701418388, 0.6624738373, 5.479897273]",0.19047619047619047,0.8647003745318352
