scope,fill,segment,exclude_symbol,seeds,num_cells,long_only_return,long_only_mdd,long_only_return_over_mdd,actual_trades,actual_return,actual_mdd,actual_return_over_mdd,null_mean_trades,null_mean_return,null_mean_mdd,null_mean_return_over_mdd,null_median_return_over_mdd,p_return,p_return_over_mdd
4h,baseline,is,,20,9,5.749320140272773,0.0850702085534301,67.58323786948036,756,11.826070862702815,0.1087714091729101,108.7240751280819,832.75,4.532964947108609,0.251574067161625,19.711140544950375,16.955504241172584,0.0476190476190476,0.0476190476190476
4h,baseline,oos_warm,,20,9,1.1980336525417166,0.0727644192704554,16.46455320544494,438,1.3244719139595071,0.1053012798529122,12.577927977794443,460.65,0.9174229278937786,0.1905866844715255,5.56616530051925,4.847850083733496,0.2857142857142857,0.0952380952380952
4h,baseline,is,ETH,20,8,4.673431339691516,0.0844955533753025,55.30979031445136,663,9.872451471766365,0.0939123977967393,105.12404861745672,747.35,3.9017874098858103,0.2155280859759723,19.420238987602215,17.84244218811058,0.0476190476190476,0.0476190476190476
4h,baseline,oos_warm,ETH,20,8,1.0003914130187768,0.0647293496407734,15.454989406978749,376,0.8859986609109143,0.1025974329033892,8.635680599778881,403.65,0.8317981210096518,0.1826566472122122,5.3882100049333435,4.44978942952841,0.4285714285714285,0.1904761904761904
4h,baseline,is,DOGE,20,8,4.50638368978264,0.0844955533753028,53.33279101406309,680,7.775088848346248,0.1087714091729101,71.48099769477528,769.25,3.6378747982227377,0.2343039025720893,17.30138352878411,15.25797952582526,0.0952380952380952,0.0476190476190476
4h,baseline,oos_warm,DOGE,20,8,0.9643059265383432,0.0613512665153213,15.71778353259464,393,1.1612525998905996,0.1025148628763953,11.327651106461998,425.95,0.7061439252958835,0.1823293406287659,4.583039891209117,3.65599441039324,0.2857142857142857,0.1428571428571428
4h,baseline,is,LINK,20,8,4.757377009905995,0.0750974652511429,63.349368637093754,651,8.7574164191144,0.0973971506903866,89.91450321737982,727.25,3.7527224482829777,0.2276440717181408,17.37106541032927,17.08184696816452,0.0476190476190476,0.0476190476190476
4h,baseline,oos_warm,LINK,20,8,0.8810887724356464,0.0826088958278657,10.665785610687657,391,1.0641273296393832,0.0989912118685052,10.749715146965922,414.75,0.6915642280584873,0.1893107253013715,4.219668767375001,3.062284165929672,0.1904761904761904,0.1428571428571428
4h,baseline,is,ETH+DOGE+LINK,20,6,2.9417358397286733,0.0628955303265419,46.77177892380786,482,4.649627966793503,0.0781499252368741,59.49625610901585,551.15,2.4412241103479966,0.1632382275669515,16.130731630272603,15.355856217124323,0.0476190476190476,0.0476190476190476
4h,baseline,oos_warm,ETH+DOGE+LINK,20,6,0.5283226151919287,0.0730047078124266,7.2368293911861805,284,0.5545293498900992,0.0754223620787321,7.352320115766666,304.05,0.4344578512153216,0.1614244674882507,3.182672639675706,2.255738753433692,0.3333333333333333,0.1428571428571428
4h,pen_5bp,is,,20,9,4.9298096267644755,0.08563506814943798,57.567649951088754,727,8.707399798151918,0.10877140917291053,80.05228455126507,805.8,3.846061547869445,0.24028613315977151,16.685324075745218,15.148196906229554,0.047619047619047616,0.047619047619047616
4h,pen_5bp,oos_warm,,20,9,1.2250600818861956,0.07664510388881304,15.983539974886808,415,1.2356365848987025,0.10140936129624746,12.184640245283015,450.9,0.9424894470391042,0.19323930920016605,5.338932008948251,4.542667268101015,0.2857142857142857,0.09523809523809523
4h,pen_5bp,is,ETH,20,8,4.156364954129479,0.08563506814943801,48.535781473033786,636,7.558294555749194,0.0939123977967393,80.48239351856506,714.2,3.494823185732372,0.2117194609185268,17.10855957868042,16.491081781026303,0.047619047619047616,0.047619047619047616
4h,pen_5bp,oos_warm,ETH,20,8,1.0032401144254963,0.0781572864974317,12.836168697571958,356,0.8013688337608587,0.09866617282134098,8.122022075508402,390.15,0.8483341650051086,0.17887554493059563,5.35225197078937,4.622773991334979,0.5714285714285714,0.23809523809523808
4h,pen_5bp,is,DOGE,20,8,3.836353702557312,0.0856350681494383,44.79886319308634,651,5.646400293775968,0.12227468419656706,46.17799940254922,733.35,3.011458627813023,0.22096133376647056,14.382442962011527,12.825531460935835,0.14285714285714285,0.047619047619047616
4h,pen_5bp,oos_warm,DOGE,20,8,0.9973834272969704,0.07086579614068117,14.074256998637077,371,1.0878566835552814,0.09858918302451611,11.034239763248316,409.3,0.7285413765480346,0.18392600446395618,4.3365897638730555,3.728307081536057,0.2857142857142857,0.047619047619047616
4h,pen_5bp,is,LINK,20,8,4.259124277914454,0.07220852107131627,58.983679692150986,628,6.8542704525861495,0.09739715069038649,70.3744452892162,701.15,3.4092978300275854,0.2141385722204104,16.56845902269113,16.248543941673695,0.09523809523809523,0.047619047619047616
4h,pen_5bp,oos_warm,LINK,20,8,0.8837700421168411,0.09591638780966194,9.213962934786586,369,0.9642439556072594,0.0913490750791669,10.555596263800215,399.2,0.6823736927992575,0.1936776545093476,3.8928697265009555,3.3516843548557524,0.2857142857142857,0.047619047619047616
4h,pen_5bp,is,ETH+DOGE+LINK,20,6,2.724397203873827,0.07594689784567574,35.87239612353632,461,3.734347220689955,0.09125137834760837,40.92373494309886,521.55,2.2517384793110513,0.16202635458632778,15.009359966356325,14.004346396190527,0.09523809523809523,0.047619047619047616
4h,pen_5bp,oos_warm,ETH+DOGE+LINK,20,6,0.5212138912384667,0.0857372785113121,6.079197990518187,266,0.4759168423201927,0.07494992350194177,6.349797572613438,287.7,0.42732163642698123,0.15870785112339683,2.825571461137643,2.123136575782023,0.38095238095238093,0.047619047619047616
