scope,arm,segment,lens,exclude_symbol,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events
all,off,full,baseline,,27,9,3845,0.5932379713914174,174576.13514742738,0.1334244538009215,1308426.8301214632,11,0.1079015706927413,0
all,off,is,baseline,,27,9,2470,0.6153846153846154,9792.144810056649,0.1334244538009215,73390.9304561756,11,0.1079015706927413,0
all,off,oos_warm,baseline,,27,9,1375,0.5534545454545454,16.826463156978235,0.1216901708123147,138.27298494740415,10,0.0980407740180035,0
all,off,oos,baseline,,27,9,1332,0.5480480480480481,12.784059816578146,0.1216901708123147,105.05416938148002,8,0.0759325554513589,0
all,off,full,baseline,BNB,24,8,3458,0.5919606709080393,49916.85332719207,0.1278758583820048,390354.0039440045,11,0.1076180835367492,0
all,off,is,baseline,BNB,24,8,2217,0.6129905277401895,3653.4621084752193,0.1187232529055375,30772.92795693618,11,0.1076180835367492,0
all,off,oos_warm,baseline,BNB,24,8,1241,0.5543916196615633,12.659425613259277,0.1278758583820049,98.99777622951812,10,0.0962187106242445,0
all,off,oos,baseline,BNB,24,8,1198,0.5484140233722872,9.525870818501286,0.127875858382005,74.49311339161875,8,0.0759325554513589,0
all,off,full,baseline,BTC,24,8,3422,0.5911747516072472,52644.93936042233,0.1289821795137069,408156.6892333971,9,0.0904494354295282,0
all,off,is,baseline,BTC,24,8,2185,0.6114416475972541,3355.981509608171,0.1289821795137069,26018.954884008068,9,0.0904494354295282,0
all,off,oos_warm,baseline,BTC,24,8,1237,0.555375909458367,14.682522888416896,0.1160451085101234,126.52427212936804,9,0.09,0
all,off,oos,baseline,BTC,24,8,1194,0.5494137353433836,11.107426508940836,0.1160451085101234,95.71645588122188,8,0.0759325554513589,0
all,off,full,baseline,DOGE,24,8,3435,0.5924308588064047,42282.6745871797,0.148665885197849,284414.1043582975,11,0.1067950667587467,0
all,off,is,baseline,DOGE,24,8,2221,0.6114362899594777,2916.05232495385,0.148665885197849,19614.804842907168,11,0.1067950667587467,0
all,off,oos_warm,baseline,DOGE,24,8,1214,0.557660626029654,13.49534320158233,0.1135794378052959,118.81854200332268,10,0.0997192994084348,0
all,off,oos,baseline,DOGE,24,8,1179,0.553011026293469,10.643269566827886,0.1135794378052953,93.7077148160674,7,0.0703258843167777,0
all,off,full,baseline,ETH,24,8,3400,0.5914705882352941,42531.99427007737,0.1375550857398144,309199.721997387,10,0.1004402429518056,0
all,off,is,baseline,ETH,24,8,2191,0.6211775445002282,4898.9167386624795,0.1364158308917708,35911.64388060773,10,0.1004402429518056,0
all,off,oos_warm,baseline,ETH,24,8,1209,0.5376344086021505,7.680350409727071,0.1375550857398148,55.8347251824221,8,0.0762187106242444,0
all,off,oos,baseline,ETH,24,8,1176,0.5331632653061225,6.228893429718452,0.1375550857398157,45.282901727823784,8,0.0759325554513589,0
all,off,full,baseline,LINK,24,8,3404,0.5990011750881316,60456.63126602088,0.1393454447103082,433861.5545826201,11,0.1079124919212807,0
all,off,is,baseline,LINK,24,8,2182,0.6209899175068744,4144.724658781097,0.1393454447103082,29744.24221328338,11,0.1079124919212807,0
all,off,oos_warm,baseline,LINK,24,8,1222,0.5597381342062193,13.583127496893685,0.1152555468841095,117.85226710651618,8,0.0783218431877792,0
all,off,oos,baseline,LINK,24,8,1184,0.5557432432432432,10.808390774904089,0.1152555468841092,93.77761910038087,8,0.0755068640220185,0
all,off,full,baseline,LTC,24,8,3433,0.5968540635013108,67825.25461681705,0.1334244538009214,508342.0069158916,11,0.1100013107306406,0
all,off,is,baseline,LTC,24,8,2212,0.6188969258589512,4724.276652611997,0.1334244538009214,35407.87702725729,11,0.1100013107306406,0
all,off,oos_warm,baseline,LTC,24,8,1221,0.556920556920557,13.353922447974435,0.1072061618244654,124.56301224401209,10,0.0980407740180036,0
all,off,oos,baseline,LTC,24,8,1178,0.5509337860780985,10.091773204578583,0.1072061618244648,94.13426460600704,8,0.0759325554513589,0
all,off,full,baseline,SOL,24,8,3355,0.5967213114754099,38918.220396151184,0.1341070449572546,290202.65421966463,11,0.1079015706927413,0
all,off,is,baseline,SOL,24,8,2154,0.6230269266480966,3775.626404741731,0.1263785800935916,29875.524807650403,11,0.1079015706927413,0
all,off,oos_warm,baseline,SOL,24,8,1201,0.5495420482930891,9.305287371630492,0.134107044957254,69.3870137441065,9,0.0883218695488996,0
