arm,lens,symbol,timeframe,window_start,window_end,window_days,adopted_entries,tp_entries,depth,is_n,is_wins,is_stops,is_gross_r_sum,is_net_pp_sum,oos_n,oos_wins,oos_stops,oos_gross_r_sum,oos_net_pp_sum,funding_coverage
freeze,baseline,BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,52,33,1,16,12,4,13.99999999999999,21.644033965114442,5,5,0,7.499999999999998,13.000748907754547,0.8647003745318352
freeze,baseline,BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,52,33,2,8,4,4,1.9999999999999964,5.417166628933765,3,3,0,4.499999999999989,8.552022408173759,0.8647003745318352
freeze,baseline,BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,52,33,3,3,0,3,-3.0,-7.619957568454073,1,0,1,-1.0,-3.597209500404139,0.8647003745318352
zone,baseline,BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,52,33,1,17,10,7,7.999999999999979,13.536271829986005,6,6,0,8.999999999999995,15.135335400689383,0.8647003745318352
zone,baseline,BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,52,33,2,7,4,3,2.999999999999994,6.363110299208464,4,3,1,3.4999999999999893,6.911500746217208,0.8647003745318352
zone,baseline,BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,52,33,3,3,0,3,-3.0,-7.772007206238096,1,0,1,-1.0,-3.597209500404139,0.8647003745318352
band,baseline,BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,52,33,1,14,10,4,10.999999999999943,13.584253357452104,5,4,1,4.9999999999999964,7.650806322860031,0.8647003745318352
band,baseline,BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,52,33,2,4,3,1,3.4999999999999654,3.508082306572771,1,1,0,1.500000000000002,4.462227754678589,0.8647003745318352
band,baseline,BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,52,33,3,1,1,0,1.5,3.5752042330498153,1,0,1,-1.0,-3.597209500404139,0.8647003745318352
freeze,pen_5bp,BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,46,28,1,13,10,3,11.999999999999979,22.069483161481326,5,5,0,7.499999999999998,13.010284907754547,0.8647003745318352
freeze,pen_5bp,BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,46,28,2,8,4,4,1.9999999999999964,5.432773101509826,1,1,0,1.5,5.119941750606221,0.8647003745318352
freeze,pen_5bp,BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,46,28,3,3,0,3,-3.0,-7.58702855017145,1,0,1,-1.0,-3.597209500404139,0.8647003745318352
zone,pen_5bp,BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,46,28,1,13,9,4,9.499999999999986,16.833257347673506,5,5,0,7.499999999999998,13.010284907754547,0.8647003745318352
zone,pen_5bp,BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,46,28,2,7,4,3,2.999999999999994,6.413110299208465,1,1,0,1.5,5.119941750606221,0.8647003745318352
zone,pen_5bp,BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,46,28,3,3,0,3,-3.0,-7.7620072062380965,1,0,1,-1.0,-3.597209500404139,0.8647003745318352
band,pen_5bp,BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,46,28,1,12,8,4,7.999999999999951,12.290606581875812,3,3,0,4.500000000000007,8.25480258787426,0.8647003745318352
band,pen_5bp,BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,46,28,2,3,3,0,4.4999999999999964,7.804854907477528,1,1,0,1.500000000000002,4.462227754678589,0.8647003745318352
band,pen_5bp,BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,46,28,3,1,1,0,1.5,3.5752042330498153,1,0,1,-1.0,-3.597209500404139,0.8647003745318352
freeze,baseline,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,120,73,1,31,21,10,21.49999999999998,29.405596363983328,18,13,5,14.499999999999988,12.485316269540133,0.8647003745318352
freeze,baseline,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,120,73,2,12,6,6,2.9999999999999956,-3.9695823100067873,9,3,6,-1.5,-2.450743927628575,0.8647003745318352
freeze,baseline,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,120,73,3,2,1,1,0.5,0.5179498931794997,3,0,3,-3.0,-2.882165112536986,0.8647003745318352
freeze,baseline,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,120,73,4,1,0,1,-1.0,-1.5247544005829883,0,0,0,0.0,0.0,0.8647003745318352
zone,baseline,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,120,73,1,32,20,12,17.999999999999993,27.247548039998257,19,13,6,13.500000000000009,11.578651106457972,0.8647003745318352
zone,baseline,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,120,73,2,13,6,7,1.9999999999999878,-2.6540458064148167,9,3,6,-1.5,-2.7539565782332103,0.8647003745318352
zone,baseline,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,120,73,3,4,3,1,3.499999999999992,3.641114390012211,3,0,3,-3.0,-2.882165112536986,0.8647003745318352
zone,baseline,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,120,73,4,1,0,1,-1.0,-1.5247544005829883,0,0,0,0.0,0.0,0.8647003745318352
band,baseline,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,120,73,1,30,21,9,22.499999999999993,30.39096757749176,17,10,7,7.99999999999999,5.733919947741131,0.8647003745318352
band,baseline,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,120,73,2,14,8,6,6.0000000000000036,1.633567771612521,6,3,3,1.499999999999964,-1.9231448878023287,0.8647003745318352
