arm,segment,exit_reason,num_trades,net_r,net_pnl,median_hold_minutes
base,full,take_profit,305,394.898463394184,17263100759.03875,0.0
base,full,stop_loss,5,-5.758131055297291,-363168.29073058674,15.0
base,oos_warm,take_profit,305,394.8984633941839,4522302.094530914,0.0
base,oos_warm,stop_loss,5,-5.758131055297292,-13684.365634763048,15.0
base,oos,take_profit,276,355.78223036151695,2683554.934970542,0.0
base,oos,stop_loss,5,-5.758131055297291,-12175.882877418862,15.0
all_off,full,take_profit,202,262.29790122498827,126048920.18692578,2.0
all_off,full,stop_loss,38,-46.33132157303492,-14824035.229210358,16.0
all_off,oos_warm,take_profit,196,253.96275495765622,775733.2838968051,2.0
all_off,oos_warm,stop_loss,38,-46.33132157303492,-125953.53538844128,16.0
all_off,oos,take_profit,179,231.2272038148551,584283.6079962556,2.0
all_off,oos,stop_loss,37,-45.24569422253965,-107492.87407782993,14.0
