symbol,timeframe,fill,segment,seeds,buy_hold,actual_candidates,actual_trades,actual_net_r,null_mean_trades,null_mean_net_r,null_median_net_r,null_min_net_r,null_max_net_r,p_value,null_mean_per_trade_r,p_value_per_trade
BTC/USDT:USDT,4h,baseline,is,20,4.737081522462245,55,38,6.2286394457463645,52.65,-9.858816771402331,-9.006757300243542,-30.767650492069695,3.508712976270383,0.0476190476190476,-0.1880521953245644,0.0476190476190476
BTC/USDT:USDT,4h,baseline,oos_warm,20,0.0802191530647187,27,18,7.526395613151916,25.5,-1.9414199777995365,-3.260884868422272,-11.488312542828094,9.139919334653609,0.1428571428571428,-0.0808780484165358,0.0476190476190476
ETH/USDT:USDT,4h,baseline,is,20,6.128286238337011,58,45,-0.2208408102001591,56.2,-2.2469688373942467,-1.6102415358926463,-24.318433797219537,12.511391671108866,0.4761904761904761,-0.0392941855029396,0.4761904761904761
ETH/USDT:USDT,4h,baseline,oos_warm,20,-0.2867911916521223,41,29,11.820080062024283,39.65,-2.7608810586420214,-3.7984970619080807,-14.191187921897258,13.322561105552042,0.0952380952380952,-0.0685989853899829,0.0476190476190476
SOL/USDT:USDT,4h,baseline,is,20,49.09800307219662,64,46,9.607706475511502,60.55,3.942332415502541,2.42683060986214,-8.44858211316297,14.99112976590506,0.3809523809523809,0.0652610974489016,0.238095238095238
SOL/USDT:USDT,4h,baseline,oos_warm,20,-0.5093534417644393,26,19,1.6008873211269106,25.35,0.6765759064782326,-0.0817020917009022,-6.701328172910439,13.411238692934996,0.3809523809523809,0.0271075865554661,0.3809523809523809
BNB/USDT:USDT,4h,baseline,is,20,16.737564322469982,52,39,-1.952739650401418,50.7,-2.815722392488462,-3.4920353898645233,-18.400847851639007,13.7323174376254,0.3809523809523809,-0.0556801692642813,0.3809523809523809
BNB/USDT:USDT,4h,baseline,oos_warm,20,0.1131613705228808,17,14,-3.0525775095323793,15.75,-2.8867404323001677,-3.4871949733907437,-11.93753326272021,5.53414835162396,0.5238095238095238,-0.1850400676166664,0.5238095238095238
XRP/USDT:USDT,4h,baseline,is,20,1.4945366248482397,36,26,2.733239758720542,33.4,1.624857855542934,1.9682011829731656,-9.293894229882332,12.468404890237837,0.4761904761904761,0.0479351543003382,0.4761904761904761
XRP/USDT:USDT,4h,baseline,oos_warm,20,0.8586072242108689,23,20,-4.005017775323536,22.1,0.7443030012115481,-0.7066016430632724,-9.059265220339569,11.224702755141443,0.8095238095238095,0.0333444470126797,0.8571428571428571
TRX/USDT:USDT,4h,baseline,is,20,3.2390651085141897,37,25,10.378511936471805,36.05,-6.66326223964372,-5.703643497980787,-22.732964564947427,9.15044484955105,0.0476190476190476,-0.1845323064581141,0.0476190476190476
TRX/USDT:USDT,4h,baseline,oos_warm,20,1.5987361769352293,23,17,-4.449218232453517,22.55,-4.5417317782074145,-5.508635484161046,-11.46346845491433,6.254905398335619,0.4761904761904761,-0.2000511234739871,0.5238095238095238
DOGE/USDT:USDT,4h,baseline,is,20,37.374419435512685,38,30,20.2185695082751,37.0,0.9924064272710672,0.7421774198686032,-10.740760069977334,11.65207357128911,0.0476190476190476,0.0262453931915245,0.0476190476190476
DOGE/USDT:USDT,4h,baseline,oos_warm,20,-0.3078882808076996,23,17,-3.0519900278375607,22.5,1.1141848068035929,0.3478106274867815,-11.956119478025617,13.802133898903945,0.7142857142857143,0.0506297198687212,0.7619047619047619
LINK/USDT:USDT,4h,baseline,is,20,-0.1082987551867221,80,59,12.540183622832917,77.8,2.346980613416695,3.626862492239205,-26.71656594960693,18.470280377985297,0.1428571428571428,0.0298532664092191,0.0952380952380952
LINK/USDT:USDT,4h,baseline,oos_warm,20,-0.1834135295782621,44,27,-3.3960194936699573,40.95,-1.5512932928864045,-0.9091559876536656,-23.11766449652809,10.83818412503012,0.6666666666666666,-0.0360699892507823,0.7619047619047619
LTC/USDT:USDT,4h,baseline,is,20,0.2315131976627038,61,44,17.590524781680703,59.95,-3.809517556262243,-2.6779767361174,-27.22477481504669,9.47751637751209,0.0476190476190476,-0.0632329338665785,0.0476190476190476
LTC/USDT:USDT,4h,baseline,oos_warm,20,-0.2288819364399802,24,21,9.707697109323014,23.0,-1.1957341681149394,-1.8842273798347513,-9.414564966728117,13.995847213926668,0.1428571428571428,-0.0484496747308123,0.0952380952380952
BTC/USDT:USDT,4h,pen_5bp,is,20,4.737081522462245,49,35,4.653525456464048,47.4,-8.81089328715198,-7.706303440967798,-23.98389261519687,5.37850636253625,0.09523809523809523,-0.18573399362653845,0.047619047619047616
BTC/USDT:USDT,4h,pen_5bp,oos_warm,20,0.08021915306471872,27,18,7.453940161835819,25.5,-2.794986202997381,-2.7864091009780854,-13.336446873528878,11.52389868635868,0.14285714285714285,-0.1141404522574719,0.09523809523809523
ETH/USDT:USDT,4h,pen_5bp,is,20,6.128286238337011,57,44,-1.5425814755596525,55.35,-4.791258156189963,-5.258799077104889,-24.46180521932188,19.96259773542142,0.38095238095238093,-0.08484370635995721,0.38095238095238093
ETH/USDT:USDT,4h,pen_5bp,oos_warm,20,-0.2867911916521223,38,27,11.413872538888477,36.55,-5.412662138171938,-5.488993359848593,-15.493408758354262,9.211655476985078,0.047619047619047616,-0.1465810683269136,0.047619047619047616
SOL/USDT:USDT,4h,pen_5bp,is,20,49.09800307219662,60,44,6.902833353048188,56.15,1.2611754678031872,0.9086258019720688,-16.293807591557478,16.805557230530805,0.2857142857142857,0.024156134814392598,0.23809523809523808
SOL/USDT:USDT,4h,pen_5bp,oos_warm,20,-0.5093534417644393,25,18,0.22720319673124334,24.2,0.7189006078485207,0.6075738958874985,-7.934449326025846,11.48979152703035,0.5714285714285714,0.029320476881508756,0.5714285714285714
BNB/USDT:USDT,4h,pen_5bp,is,20,16.737564322469982,51,38,-3.4015059995926427,49.8,-3.024268071725289,-5.318494838827286,-14.90163187229619,17.864462552699894,0.42857142857142855,-0.06026819743592787,0.42857142857142855
BNB/USDT:USDT,4h,pen_5bp,oos_warm,20,0.11316137052288089,15,13,-1.9117869383297632,14.8,-2.623627613454046,-4.047110218475714,-9.273547762872331,5.684835877094521,0.3333333333333333,-0.17721353411151197,0.42857142857142855
XRP/USDT:USDT,4h,pen_5bp,is,20,1.4945366248482395,34,25,1.2801565989912222,31.95,1.4995828400991542,1.9508654925602487,-12.780892327287217,14.634925156646513,0.5714285714285714,0.04626069661456094,0.5714285714285714
XRP/USDT:USDT,4h,pen_5bp,oos_warm,20,0.8586072242108689,22,19,-5.279317122700208,21.4,0.06266637954506525,-0.7254693469494773,-7.565824479162045,11.992226052583884,0.8571428571428571,0.0026237044828555994,0.9047619047619048
TRX/USDT:USDT,4h,pen_5bp,is,20,3.2390651085141897,36,24,8.836866862685088,34.25,-6.393409282739811,-6.448956465482017,-15.937703128312435,3.8474526193591165,0.047619047619047616,-0.187111397909619,0.047619047619047616
TRX/USDT:USDT,4h,pen_5bp,oos_warm,20,1.5987361769352293,21,15,-4.534166303825454,20.6,-5.016606436861343,-5.234939835392134,-11.449368913701838,1.7909526585238902,0.47619047619047616,-0.24382263462047488,0.6190476190476191
DOGE/USDT:USDT,4h,pen_5bp,is,20,37.374419435512685,38,30,20.188948105541925,37.0,0.3453544196697381,-0.7640710570901561,-10.759633565012484,11.628633104852083,0.047619047619047616,0.008638768646900528,0.047619047619047616
DOGE/USDT:USDT,4h,pen_5bp,oos_warm,20,-0.3078882808076996,23,17,-3.05439313728585,22.5,0.9942657117135967,0.3358806483082809,-12.120795571014613,13.54037358035109,0.7142857142857143,0.04532983878505904,0.7619047619047619
LINK/USDT:USDT,4h,pen_5bp,is,20,-0.10829875518672216,74,56,10.798478756661261,72.15,0.4291914842574645,2.5171300991532664,-22.25555789597234,20.49247417627326,0.19047619047619047,0.005907658742188469,0.09523809523809523
LINK/USDT:USDT,4h,pen_5bp,oos_warm,20,-0.18341352957826218,41,27,-3.3974571663733832,39.3,-1.4662675318804776,0.2839433356537229,-13.458926090372358,7.807419160092101,0.6666666666666666,-0.037800656208714915,0.7142857142857143
LTC/USDT:USDT,4h,pen_5bp,is,20,0.23151319766270384,53,40,12.058345771441981,52.5,-3.731268368614883,-2.2593756967186303,-27.58349251624115,11.536899047935467,0.047619047619047616,-0.07032574973410811,0.047619047619047616
LTC/USDT:USDT,4h,pen_5bp,oos_warm,20,-0.22888193643998023,22,18,5.725729132487653,20.5,0.5461872109052471,0.09431630253490231,-9.20197700390915,16.271471367120974,0.23809523809523808,0.03264998914009927,0.19047619047619047
BTC/USDT:USDT,1h,baseline,is,20,4.777387162090623,265,168,44.3075248065463,235.65,-45.89361230181771,-48.80238357689319,-72.25547458492522,-16.999055702512717,0.047619047619047616,-0.195131840851616,0.047619047619047616
BTC/USDT:USDT,1h,baseline,oos_warm,20,0.08301096146083098,134,83,16.38608033498858,102.9,-22.24931717318011,-19.824405917601695,-44.843991391097326,1.2157742521399426,0.047619047619047616,-0.2168253648925073,0.047619047619047616
ETH/USDT:USDT,1h,baseline,is,20,6.113725594227505,262,173,31.573861597315943,233.95,-30.827918233937716,-31.034207548838218,-61.94439374518789,12.12471736365325,0.047619047619047616,-0.1322785160305541,0.047619047619047616
